id,year,month,day,wekkday,hour,minute,lat,lon
398465,2004,1,26,2,15,30,30.50854722,-88.34317222
398466,2004,2,1,1,23,55,32.15530278,-86.27123611
398467,2004,2,2,2,5,10,32.67245278,-85.59367222
398468,2004,1,18,1,22,14,32.39193333,-86.39044167
398469,2004,1,20,3,13,5,32.36125278,-86.23019722
398470,2004,1,31,7,2,40,33.46831667,-86.70810278
398471,2004,1,14,4,19,0,33.43198056,-86.74090833
398472,2004,1,24,7,19,45,33.52555,-86.76951667
398473,2004,1,23,6,19,34,30.66530556,-88.10621389
398474,2004,1,31,7,23,33,30.44421111,-88.11428333
398475,2004,1,20,3,0,15,30.49425278,-88.25678611
398476,2004,1,19,2,0,40,30.47252778,-88.30928056
398477,2004,2,5,5,6,10,32.45178889,-85.01409167
398478,2004,1,1,5,3,25,30.523675,-87.82198333
398479,2004,2,8,1,14,5,30.80435278,-88.25011111
398480,2004,1,23,6,2,15,31.9876,-85.11433889
398481,2004,1,17,7,11,5,32.021775,-85.08564722
398482,2004,1,23,6,5,0,33.91879722,-86.60843333
398483,2004,1,6,3,5,50,31.883675,-85.50048056
398484,2004,2,5,5,18,19,31.00289167,-87.49226944
398485,2004,2,7,7,0,45,31.21474722,-85.38648611
398486,2004,2,10,3,13,10,32.69453611,-85.28479167
398487,2004,1,5,2,6,30,34.17005,-86.88657778
398488,2004,1,11,1,14,50,34.01365556,-86.92295278
398489,2004,1,6,3,5,55,31.31278333,-85.46826111
398490,2004,1,16,6,21,0,32.310175,-87.13053056
398491,2004,1,3,7,9,58,32.50770556,-86.38320278
398492,2004,1,16,6,18,30,33.78696667,-87.7992
398493,2004,2,12,5,6,50,33.27385278,-87.238
398494,2004,1,30,6,17,30,34.12839722,-86.12045833
398495,2004,2,13,6,7,20,32.84265833,-85.43829444
398496,2004,1,30,6,4,50,31.15585,-85.4978
398497,2004,1,6,3,19,5,33.76569167,-85.77207222
398498,2004,1,3,7,7,15,33.59567222,-85.85154722
398499,2004,1,3,7,15,30,32.89786667,-85.36845833
398500,2004,1,1,5,9,55,32.72114722,-86.65308611
398501,2004,1,2,6,1,0,31.96818056,-87.82294722
398502,2004,1,21,4,14,25,31.46354167,-86.26366667
398503,2004,1,24,7,23,0,31.91377222,-86.31623056
398504,2004,1,24,7,5,50,31.50895278,-85.29120556
398505,2004,1,28,4,7,30,31.39653056,-85.35183611
398506,2004,1,22,5,12,35,31.24197778,-85.63037222
398507,2004,1,4,1,20,20,31.10928056,-85.405
398508,2004,1,24,7,18,40,34.77195833,-85.89556667
398509,2004,1,29,5,22,26,34.47998333,-87.4336
398510,2004,1,4,1,9,0,32.72541667,-85.5564
398511,2004,1,1,5,4,50,34.83561111,-87.21481944
398512,2004,1,17,7,15,10,34.88844167,-86.82611111
398513,2004,1,1,5,8,0,32.30570833,-86.59971944
398514,2004,1,2,6,20,45,32.38565,-85.99686667
398515,2004,1,3,7,14,0,34.49935833,-86.76595833
398516,2004,1,2,6,8,45,32.25615556,-86.73188889
398517,2004,1,4,1,0,1,33.51209722,-86.55058611
398518,2004,2,14,7,12,15,34.57029722,-87.38384444
398519,2004,2,15,1,10,15,34.95773889,-87.52755833
398520,2004,1,5,2,0,15,34.8052,-86.71353889
398521,2004,1,5,2,5,0,33.58439167,-86.03715833
398522,2004,2,15,1,4,5,34.03114444,-86.57501111
398523,2004,1,6,3,13,25,32.08514444,-85.15396667
398524,2004,2,15,1,1,10,32.21040556,-87.39804444
398525,2004,2,17,3,9,41,32.97541389,-85.40331111
398526,2004,1,8,5,12,13,32.50625,-85.74217222
398527,2004,1,14,4,17,45,34.85973333,-86.74916667
398528,2004,1,7,4,15,33,33.22988889,-87.69539444
398529,2004,1,14,4,4,15,33.25288056,-87.12547778
398530,2004,1,8,5,18,30,33.23025,-85.35717778
398531,2004,1,8,5,5,10,32.50981111,-88.32114722
398532,2004,2,17,3,8,35,31.58643889,-85.55378611
398533,2004,2,17,3,5,45,34.19695,-86.92145833
398534,2004,2,20,6,10,15,34.52683056,-86.97171111
398535,2004,2,12,5,4,45,34.49095,-86.83960833
398536,2004,2,8,1,2,55,33.12340833,-87.49358889
398537,2004,1,16,6,16,5,34.84811111,-86.57126944
398538,2004,1,17,7,15,15,34.29955,-87.33396389
398539,2004,1,17,7,4,30,32.95292778,-88.29689444
398540,2004,1,22,5,5,0,33.47830556,-86.20114167
398541,2004,2,20,6,14,20,30.52808611,-87.51480556
398542,2004,1,29,5,15,50,34.83580556,-86.52351667
398543,2004,1,30,6,14,45,34.35789444,-86.75721667
398544,2004,1,31,7,2,20,32.48938333,-85.63135278
398545,2004,2,24,3,22,50,30.59363056,-88.15623611
398546,2004,2,25,4,14,0,33.81614722,-86.98336944
398547,2004,2,21,7,0,14,32.87046389,-85.19724444
398548,2004,2,24,3,19,15,34.23724167,-87.72696389
398549,2004,2,28,7,1,20,34.045,-87.22248611
398550,2004,2,24,3,23,45,34.20749444,-86.87864444
398551,2004,3,3,4,5,55,34.08914722,-86.86638056
398552,2004,3,5,6,14,58,34.73113611,-87.85414167
398553,2004,2,29,1,14,35,33.60385556,-86.02181944
398554,2004,2,29,1,12,0,32.59503056,-85.81593056
398555,2004,3,5,6,15,0,33.59515556,-87.60336111
398556,2004,2,27,6,6,5,34.81348611,-86.84148889
398557,2004,2,24,3,14,30,33.12573889,-87.48350556
398558,2004,2,28,7,21,30,32.47273611,-86.101925
398559,2004,3,4,5,10,45,33.35402222,-86.74995
398560,2004,2,22,1,15,50,33.47063889,-86.57851944
398561,2004,2,26,5,15,20,34.45814167,-86.34964167
398562,2004,3,3,4,7,55,32.486025,-86.18945278
398563,2004,1,15,5,6,36,33.56134444,-86.72878889
398564,2004,3,6,7,19,11,33.45688889,-85.58576389
398565,2004,3,9,3,19,0,32.8153,-86.31983611
398566,2004,3,4,5,9,55,30.4064,-87.68203056
398567,2004,3,19,6,16,5,34.29040278,-85.51932778
398568,2004,3,4,5,18,17,33.66366944,-85.83658889
398569,2004,3,5,6,21,35,31.71836111,-86.24774444
398570,2004,2,28,7,18,5,34.75361944,-87.96228333
398571,2004,3,7,1,10,20,31.98499167,-86.52826667
398572,2004,3,7,1,0,46,30.80311111,-88.24694167
398573,2004,3,7,1,1,30,33.85220833,-86.80610833
398574,2004,3,7,1,1,18,30.65934722,-87.82529722
398575,2004,3,8,2,14,0,33.06619722,-85.87559722
398576,2004,3,9,3,22,15,33.21224444,-86.79868333
398577,2004,3,11,5,6,40,32.92315833,-87.86533056
398578,2004,3,12,6,17,27,34.41841111,-85.94807222
398579,2004,3,13,7,4,40,33.605075,-85.83156389
398580,2004,3,13,7,15,0,32.72217222,-85.24521389
398581,2004,3,15,2,9,10,33.20679444,-86.79443333
398582,2004,3,3,4,23,20,33.82592222,-86.16210556
398583,2004,3,18,5,17,0,34.38237778,-86.16936111
398584,2004,3,13,7,21,30,34.01711389,-86.96580833
398585,2004,3,22,2,17,20,33.57281944,-86.45053889
398586,2004,3,25,5,11,5,34.43851944,-87.201325
398587,2004,3,26,6,22,25,34.80308333,-86.40696389
398588,2004,3,21,1,12,35,33.57407778,-86.63878889
398589,2004,3,23,3,5,25,33.55512778,-85.88408611
398590,2004,3,27,7,21,5,34.17953889,-87.18553611
398591,2004,3,29,2,11,14,34.77766389,-86.71403889
398592,2004,3,31,4,12,0,33.77065,-86.46044444
398593,2004,4,2,6,1,42,34.39403889,-86.43636389
398594,2004,2,19,5,20,43,31.45635278,-85.62522778
398595,2004,2,21,7,9,45,32.43533611,-85.06560833
398596,2004,2,29,1,17,30,33.89652222,-87.52918889
398597,2004,3,5,6,20,7,34.61994722,-86.99075833
398598,2004,3,7,1,2,46,34.762,-86.58945278
398599,2004,4,3,7,9,32,33.28845,-86.76431667
398600,2004,3,25,5,1,35,30.47548889,-88.11354167
398601,2004,1,14,4,20,30,31.29288611,-87.57338056
398602,2004,3,15,2,15,45,32.8221,-86.22683889
398603,2004,3,19,6,0,5,30.51215556,-88.28616389
398604,2004,3,26,6,4,30,34.88195833,-86.71708333
398605,2004,3,22,2,10,45,34.565225,-87.06992778
398606,2004,3,23,3,1,45,30.92665,-88.21818889
398607,2004,3,25,5,17,0,31.08096111,-87.12093333
398608,2004,3,26,6,6,20,34.64950833,-87.19440833
398609,2004,3,27,7,16,40,31.74979444,-86.66981667
398610,2004,3,25,5,13,15,34.81906667,-86.95514722
398611,2004,3,30,3,7,0,34.37175833,-87.61880833
398612,2004,1,2,6,23,0,33.53809444,-86.97695833
398613,2004,1,2,6,9,40,33.48705556,-86.888875
398614,2004,3,30,3,17,50,31.83809167,-85.22531667
398615,2004,1,4,1,21,11,33.50625833,-86.79281944
398616,2004,3,30,3,21,30,34.72788056,-85.73356667
398617,2004,3,30,3,18,15,33.82218611,-87.15894722
398618,2004,3,31,4,6,55,31.28281389,-85.83083333
398619,2004,1,7,4,14,23,32.50585278,-85.02034444
398620,2004,1,9,6,7,0,33.33374722,-86.88300278
398621,2004,3,31,4,5,10,33.05675833,-87.70846667
398622,2004,4,1,5,13,38,33.57728333,-86.81386944
398623,2004,4,3,7,0,1,31.91246667,-85.9423
398624,2004,4,2,6,22,40,34.69760278,-87.63625833
398625,2004,4,2,6,22,35,31.64474444,-87.23857222
398626,2004,1,11,1,10,10,33.52150556,-86.73299167
398627,2004,4,4,1,17,0,33.20835833,-86.31063056
398628,2004,4,4,1,16,5,34.16233889,-85.57213889
398629,2004,1,11,1,18,10,33.77432778,-87.07560556
398630,2004,1,17,7,0,5,33.09350833,-86.80203889
398631,2004,1,23,6,21,0,33.55430556,-86.867675
398632,2004,4,4,1,18,8,34.54387222,-87.16673611
398633,2004,4,7,4,14,25,30.52704444,-87.51309722
398634,2004,4,8,5,6,0,32.19060833,-85.81235556
398635,2004,4,8,5,0,49,31.31031111,-86.40548056
398636,2004,4,8,5,16,37,34.80316389,-87.19223333
398637,2004,1,26,2,2,45,30.71856667,-88.13608889
398638,2004,4,9,6,9,15,34.46905833,-85.78170278
398639,2004,4,9,6,12,15,34.32089167,-87.69573333
398640,2004,4,9,6,2,15,30.58368333,-88.17893056
398641,2004,4,9,6,17,45,30.47103056,-88.23375833
398642,2004,4,9,6,16,31,33.91220278,-86.32857222
398643,2004,4,10,7,20,30,30.54558333,-87.80379722
398644,2004,4,10,7,17,0,34.07190278,-86.18897222
398645,2004,1,26,2,20,18,33.54478611,-86.58248056
398646,2004,4,10,7,13,45,33.33411111,-86.77969167
398647,2004,4,10,7,13,55,34.62281944,-87.74983333
398648,2004,1,31,7,21,40,33.84023056,-87.23425833
398649,2004,4,11,1,10,10,32.90583889,-87.01278333
398650,2004,4,12,2,13,52,33.65350556,-86.09214722
398651,2004,4,13,3,9,40,31.68965833,-87.90205556
398652,2004,2,1,1,23,10,32.35861944,-86.32302222
398653,2004,4,13,3,14,36,34.78830833,-86.83260278
398654,2004,4,14,4,5,45,31.51294722,-85.17965833
398655,2004,2,1,1,7,36,34.206225,-86.85936667
398656,2004,4,14,4,6,15,33.69556389,-87.05767222
398657,2004,4,15,5,7,0,32.95435278,-85.46448333
398658,2004,2,8,1,3,35,30.68583889,-88.14839444
398659,2004,4,15,5,7,10,32.07720833,-86.30150556
398660,2004,4,17,7,6,55,30.41445278,-87.54956944
398661,2004,4,17,7,4,45,32.16260833,-86.11568056
398662,2004,4,18,1,19,20,33.87031944,-86.11133889
398663,2004,2,11,4,19,25,30.70549722,-88.14845278
398664,2004,4,18,1,15,35,31.01143333,-87.66935833
398665,2004,4,18,1,20,45,32.04365556,-85.08469444
398666,2004,4,18,1,15,55,31.093775,-85.31117222
398667,2004,1,20,3,9,51,32.42588889,-85.68653611
398668,2004,2,4,4,18,50,33.54529722,-86.72053889
398669,2004,2,19,5,11,1,31.32313056,-85.83131944
398670,2004,2,13,6,21,8,34.65739444,-86.11787222
398671,2004,2,25,4,18,25,31.34975833,-85.87508889
398672,2004,2,20,6,0,36,30.70895833,-88.20756111
398673,2004,2,28,7,21,29,30.676175,-88.1619
398674,2004,3,3,4,18,55,32.47937222,-86.43696667
398675,2004,2,20,6,21,8,30.68365556,-88.12782778
398676,2004,3,3,4,16,36,33.14542222,-85.37639444
