id,year,month,day,weekday,hour,minute,lat,lon
323299,2006,1,1,1,12,30,33.53780278,-86.3198
323300,2006,1,1,1,17,50,30.63305556,-87.64221944
323301,2006,1,1,1,1,40,31.13435,-85.12185556
323302,2006,1,5,5,16,15,33.60219444,-86.80754167
323303,2006,1,1,1,2,15,32.9043,-88.29932222
323304,2006,1,7,7,11,5,34.33470833,-86.04853333
323305,2006,1,5,5,4,15,32.56536111,-85.35652778
323306,2006,1,1,1,14,30,34.32786111,-87.91667778
323307,2006,1,5,5,11,39,32.50181111,-85.01055556
323308,2006,1,1,1,2,50,32.95144167,-85.40323056
323309,2006,1,1,1,3,56,30.68635833,-88.0537
323310,2006,1,2,2,12,40,34.41350556,-86.95206944
323311,2006,1,3,3,17,5,33.50821667,-86.88253611
323312,2006,1,7,7,14,15,32.20405833,-88.34763056
323313,2006,1,7,7,2,0,31.54205556,-87.90826111
323314,2006,1,8,1,15,50,34.06988056,-86.72690833
323315,2006,1,3,3,17,16,31.51315556,-87.94919167
323316,2006,1,8,1,15,0,34.84570278,-86.92974167
323317,2006,1,8,1,21,30,33.27662222,-87.06813611
323318,2006,1,8,1,13,0,34.99194167,-86.72171667
323319,2006,1,8,1,4,30,31.28151667,-88.10195
323320,2006,1,8,1,14,15,32.60600278,-85.42606667
323321,2006,1,3,3,9,55,34.48301667,-85.81993056
323322,2006,1,12,5,18,35,34.51025833,-86.26597222
323323,2006,1,4,4,16,5,32.26954444,-86.53620278
323324,2006,1,12,5,0,1,31.18366111,-85.44759722
323325,2006,1,12,5,5,21,33.82633056,-87.23358611
323326,2006,1,13,6,17,45,31.28711944,-85.22169444
323327,2006,1,13,6,16,15,34.16142778,-87.60866667
323328,2006,1,13,6,12,5,34.12920556,-85.94195833
323329,2006,1,14,7,20,5,33.4339,-86.87487222
323330,2006,1,14,7,0,1,32.57567222,-86.47346944
323331,2006,1,14,7,6,0,33.88280833,-86.82507778
323332,2006,1,17,3,22,20,34.28784722,-85.579725
323333,2006,1,18,4,15,53,33.53275278,-86.79876111
323334,2006,1,17,3,1,15,33.24883333,-87.13699722
323335,2006,1,16,2,12,22,34.77111111,-86.58595278
323336,2006,1,17,3,17,39,30.77496111,-88.13967778
323337,2006,1,18,4,15,45,30.53783056,-88.24001667
323338,2006,1,9,2,23,40,33.64226944,-86.61559444
323339,2006,1,18,4,23,50,33.53492222,-86.79626111
323340,2006,1,19,5,14,55,33.80142778,-87.11705
323341,2006,1,19,5,14,18,32.57240833,-85.49727778
323342,2006,1,9,2,5,40,33.37855278,-86.32763056
323343,2006,1,20,6,5,10,33.78971111,-85.66020278
323344,2006,1,20,6,21,24,31.84663333,-86.61748056
323345,2006,1,20,6,1,25,32.54283889,-87.18294444
323346,2006,1,20,6,10,5,32.43423056,-86.91844722
323347,2006,1,9,2,13,30,33.48773611,-88.26932222
323348,2006,1,21,7,13,42,34.68074444,-86.330225
323349,2006,1,23,2,13,48,32.02195,-87.77286944
323350,2006,1,21,7,12,30,33.83256667,-87.16841667
323351,2006,1,23,2,5,44,33.69758611,-87.83929722
323352,2006,1,11,4,13,30,33.54474444,-86.64312778
323353,2006,1,24,3,10,45,32.60822222,-85.44769444
323354,2006,1,11,4,19,15,33.02915278,-88.05749167
323355,2006,1,11,4,7,30,30.68494444,-87.99961667
323356,2006,1,24,3,13,40,33.15730833,-86.73006944
323357,2006,1,25,4,20,45,34.629625,-86.54069444
323358,2006,1,25,4,16,53,30.29031667,-87.60251111
323359,2006,2,1,4,17,26,34.85585,-86.80148333
323360,2006,2,1,4,19,10,34.74681111,-86.60001111
323361,2006,2,1,4,10,44,32.49615556,-85.02137222
323362,2006,2,2,5,17,20,32.55308333,-88.19956667
323363,2006,2,3,6,23,10,31.53887222,-85.98714444
323364,2006,1,26,5,10,22,34.23214444,-85.56707222
323365,2006,1,28,7,13,40,32.02662778,-85.33788333
323366,2006,2,3,6,12,30,34.72441389,-87.82056944
323367,2006,2,3,6,18,15,33.54303889,-86.87374444
323368,2006,2,6,2,15,55,33.09781389,-86.112525
323369,2006,2,4,7,18,35,31.143975,-87.20634167
323370,2006,2,4,7,0,10,33.58533333,-85.89609444
323371,2006,2,6,2,7,15,33.82764167,-86.33789444
323372,2006,1,28,7,11,10,32.77715,-87.98543333
323373,2006,2,7,3,6,15,33.702325,-86.52413056
323374,2006,2,8,4,18,37,33.03491111,-87.14003333
323375,2006,1,28,7,22,5,32.88495,-85.20395833
323376,2006,2,8,4,12,25,34.54337778,-86.86833333
323377,2006,1,29,1,18,50,31.98596389,-86.52912222
323378,2006,2,9,5,6,25,34.73195556,-86.99146389
323379,2006,1,29,1,3,0,32.94988333,-86.44088611
323380,2006,2,16,5,4,15,33.13782222,-87.81695
323381,2006,2,17,6,18,35,33.71256667,-85.87109167
323382,2006,1,29,1,6,5,34.30071389,-86.15010278
323383,2006,2,18,7,18,30,32.48961667,-86.54410833
323384,2006,2,18,7,18,40,30.561275,-88.20363611
323385,2006,1,29,1,7,15,34.72716944,-86.79657222
323386,2006,2,18,7,3,42,32.44251667,-85.02043889
323387,2006,1,30,2,18,49,34.78751389,-86.59190833
323388,2006,2,19,1,14,10,30.53882222,-88.159625
323389,2006,1,31,3,13,20,33.74355278,-88.00060556
323390,2006,1,31,3,22,50,33.82945278,-87.03330833
323391,2006,1,31,3,7,30,30.57316389,-88.18266667
323392,2006,2,20,2,6,10,33.92271111,-86.80909722
323393,2006,2,20,2,1,55,33.923875,-87.59775
323394,2006,2,20,2,6,50,34.87223333,-86.60700833
323395,2006,1,31,3,0,42,34.00933889,-85.96704444
323396,2006,2,20,2,20,50,32.32752222,-86.336825
323397,2006,2,20,2,17,0,34.66245833,-86.78698889
323398,2006,2,22,4,9,50,33.01572778,-87.29838611
323399,2006,2,9,5,11,30,33.54795556,-87.63315833
323400,2006,2,22,4,15,48,34.83434444,-86.52056389
323401,2006,2,22,4,12,15,32.0535,-87.79555
323402,2006,2,10,6,18,40,33.86644444,-85.77217778
323403,2006,2,23,5,5,50,34.02463333,-87.93974167
323404,2006,2,23,5,8,30,34.75853611,-86.47441944
323405,2006,2,23,5,1,15,31.02026667,-87.207325
323406,2006,2,11,7,7,10,34.85989167,-86.77347778
323407,2006,2,23,5,11,37,33.91361944,-88.08046944
323408,2006,2,24,6,19,50,33.61585278,-85.76638611
323409,2006,2,11,7,17,25,32.22805833,-85.00280556
323410,2006,2,25,7,19,15,32.52496667,-87.76746111
323411,2006,2,25,7,22,15,32.5104,-85.59481111
323412,2006,2,25,7,2,50,33.50292222,-86.12858889
323413,2006,2,11,7,10,10,33.69487222,-87.08055833
323414,2006,2,11,7,3,20,33.45961944,-86.81124722
323415,2006,2,25,7,14,30,32.91950833,-86.80058056
323416,2006,3,1,4,8,45,32.955375,-86.32190278
323417,2006,3,2,5,19,55,32.51710556,-86.59801389
323418,2006,3,2,5,14,35,33.53929167,-85.38425
323419,2006,2,11,7,23,45,31.93918889,-86.1071
323420,2006,3,2,5,17,25,32.30478611,-86.33850278
323421,2006,2,13,2,17,10,32.678525,-86.30746667
323422,2006,3,4,7,10,55,31.79753889,-85.90285556
323423,2006,3,4,7,1,45,32.30535,-86.98339444
323424,2006,3,4,7,15,0,34.57440278,-87.95958889
323425,2006,3,4,7,4,45,30.71123056,-88.26419722
323426,2006,2,12,1,3,50,32.45480833,-85.00857222
323427,2006,3,5,1,16,15,32.46475278,-87.09263056
323428,2006,3,6,2,21,11,34.03878611,-85.97469167
323429,2006,2,14,3,11,50,31.76821667,-85.19078611
323430,2006,3,7,3,20,40,34.19988333,-85.91663889
323431,2006,3,7,3,0,5,31.09086389,-87.52505
323432,2006,3,7,3,10,11,32.62668611,-85.37135278
323433,2006,3,8,4,20,55,33.16484444,-86.891825
323434,2006,2,14,3,20,35,31.272525,-85.23684167
323435,2006,3,8,4,14,55,32.38144722,-86.37906667
323436,2006,2,14,3,15,0,30.48738889,-88.310225
323437,2006,3,9,5,11,10,34.35396111,-85.93158889
323438,2006,3,9,5,19,25,32.96531389,-86.007275
323439,2006,3,9,5,22,51,30.51373056,-88.28320556
323440,2006,3,9,5,16,5,34.48024167,-87.292525
323441,2006,3,10,6,14,50,31.25698611,-88.35655556
323442,2006,3,11,7,16,5,32.42081389,-87.12359722
323443,2006,3,10,6,23,13,32.27781389,-87.39286389
323444,2006,3,11,7,16,0,30.993725,-86.17675
323445,2006,3,11,7,18,12,34.6983,-86.62731111
323446,2006,2,14,3,8,3,34.64354167,-85.64647778
323447,2006,3,11,7,1,5,30.55936944,-88.20265556
323448,2006,3,10,6,2,30,32.66037222,-86.50133889
323449,2006,3,14,3,19,40,33.93269722,-86.60005
323450,2006,3,14,3,6,49,32.44371667,-86.46476389
323451,2006,3,14,3,22,50,34.08196944,-86.342425
323452,2006,3,15,4,15,25,30.47608333,-88.22551667
323453,2006,3,15,4,10,45,34.77691944,-87.01512222
323454,2006,3,15,4,10,53,34.02452222,-86.908925
323455,2006,3,16,5,5,10,32.33217778,-86.59510556
323456,2006,3,16,5,6,40,31.72506389,-85.65402222
323457,2006,3,16,5,22,38,34.15885556,-86.35238056
323458,2006,3,16,5,7,40,31.3144,-86.41334444
323459,2006,3,17,6,10,46,34.97121389,-86.72431111
323460,2006,3,17,6,18,30,32.59558611,-86.67854167
323461,2006,3,17,6,10,0,33.99078611,-86.03892222
323462,2006,3,21,3,23,30,34.836625,-86.93630278
323463,2006,3,23,5,4,30,34.96901111,-87.264675
323464,2006,3,23,5,15,30,34.61956111,-87.04203889
323465,2006,3,22,4,6,55,31.18791111,-87.05275833
323466,2006,3,21,3,14,0,32.32344722,-86.33588056
323467,2006,3,24,6,9,21,32.52720278,-86.20620278
323468,2006,3,24,6,15,20,33.54745,-87.25521389
323469,2006,3,25,7,13,30,33.15539444,-86.530975
323470,2006,2,15,4,9,35,31.23125833,-86.131625
323471,2006,3,24,6,13,13,32.35635833,-86.32136389
323472,2006,3,25,7,17,52,32.95195833,-86.83153611
323473,2006,2,15,4,0,45,34.85212222,-86.51476389
323474,2006,2,25,7,16,0,33.27219167,-87.10515278
323475,2006,2,26,1,18,15,32.54116944,-86.31224444
323476,2006,2,26,1,19,23,32.35134444,-86.38054722
323477,2006,3,26,1,6,31,33.63619722,-86.70275278
323478,2006,3,25,7,19,30,32.13901944,-85.18014722
323479,2006,3,28,3,8,7,33.49008611,-86.36616389
323480,2006,2,26,1,3,30,32.72345833,-85.16780833
323481,2006,2,27,2,15,0,31.6271,-85.09940556
323482,2006,3,28,3,8,25,34.026525,-86.02430556
323483,2006,3,29,4,13,45,32.17910278,-86.11746944
323484,2006,3,30,5,2,10,31.23880556,-85.98213056
323485,2006,2,27,2,6,0,34.198175,-87.43816111
323486,2006,1,8,1,20,24,33.45759444,-86.96099444
323487,2006,2,6,2,17,14,30.62654722,-88.11908889
323488,2006,1,29,1,7,15,30.71542222,-88.13331944
323489,2006,2,16,5,23,0,33.37420278,-86.99081389
323490,2006,2,27,2,6,50,33.91465833,-87.3843
323491,2006,3,26,1,4,0,31.89943333,-87.58634167
323492,2006,3,27,2,14,15,33.35569444,-86.65045
323493,2006,3,28,3,6,15,33.41854444,-88.15983333
323494,2006,2,27,2,20,15,30.76935556,-88.23494444
323495,2006,3,4,7,19,55,31.02738333,-87.479675
323496,2006,2,28,3,18,5,33.93045556,-86.49775556
323497,2006,2,17,6,15,50,33.60316389,-86.64956667
323498,2006,3,18,7,10,50,32.91189722,-87.27841389
323499,2006,2,17,6,22,2,33.51395556,-86.83129167
323500,2006,2,22,4,20,35,33.451775,-86.92389167
323501,2006,2,24,6,23,47,33.49163889,-87.21574167
323502,2006,3,18,7,12,55,34.97729444,-86.69471389
323503,2006,3,2,5,13,56,32.90684167,-85.92756667
323504,2006,3,8,4,19,47,33.36800833,-86.77677222
323505,2006,3,9,5,19,50,30.68751944,-88.12877778
323506,2006,3,19,1,14,25,34.88075833,-86.62689722
323507,2006,3,31,6,19,0,34.56896389,-85.794225
323508,2006,3,10,6,6,13,30.39042222,-87.648725
323509,2006,3,19,1,6,20,34.88264167,-86.59821111
323510,2006,3,15,4,20,17,34.47386111,-87.2492
323511,2006,3,17,6,23,42,31.11187222,-87.06479167
323512,2006,3,28,3,13,50,34.68143056,-87.40977778
323513,2006,3,31,6,1,15,34.61962778,-86.994625
323514,2006,3,19,1,20,31,33.57991944,-86.01514167
323515,2006,1,30,2,23,22,34.75494444,-87.65655833
323516,2006,3,19,1,2,25,32.40140556,-85.06089722
323517,2006,2,21,3,15,15,32.95835833,-87.14741667
323518,2006,2,4,7,21,35,33.69567778,-87.83770833
323519,2006,3,19,1,3,0,33.44090278,-86.20583056
323520,2006,2,13,2,18,18,33.95696667,-86.46434444
323521,2006,2,15,4,8,44,33.64933611,-85.83246944
323522,2006,2,17,6,15,20,31.00500278,-87.507125
323523,2006,2,17,6,2,50,30.27943889,-87.66139722
323524,2006,3,19,1,19,0,34.24536111,-87.04707778
323525,2006,4,13,5,10,40,34.44787222,-86.85831111
323526,2006,4,13,5,7,50,33.71364444,-86.99558611
323527,2006,4,17,2,6,15,34.41510556,-87.30187222
323528,2006,3,20,2,15,45,34.24110556,-86.55507222
323529,2006,4,18,3,14,30,31.57947778,-87.95420556
323530,2006,4,3,2,7,15,34.06065556,-86.86652222
323531,2006,4,4,3,6,27,32.84381944,-86.63351111
323532,2006,4,19,4,7,25,33.49824444,-86.84057778
323533,2006,4,7,6,16,50,34.82130556,-85.70152778
323534,2006,3,30,5,10,5,33.20099722,-87.58862778
323535,2006,4,19,4,20,15,30.87734167,-88.27144167
323536,2006,4,8,7,22,43,32.37521667,-86.20896944
323537,2006,4,21,6,17,15,34.92848056,-87.531625
323538,2006,4,10,2,8,31,32.84671667,-85.20979167
